Term,Abbreviation / Acronym / Definition,Abbreviation,Definition,Category,Tags,Source,Contact,Comments,Approval Status,Rating (0-5),Synonyms,ID,Top Filter
"Asset Information Model","[""Definition"",""Acronym""]","AIM","An Asset Information Model (AIM) is a model that compiles the data and information necessary to support asset management, that is, it provides all the data and information related to, or required for the operation of an asset.
An AIM conceptually includes graphical and non-graphical data and information as well as documents and metadata.","[""Industry"",""Enterprise Architecture""]","[""BIM - Management""]","BIM Exchange Information Requirements","Abel Maciel",,"Approved",,,"42","A"
"Asset Information Requirements","[""Definition""]","AIR","An AIR is part of the BIM protocol as defined by ISO 19650 and set out managerial, commercial and technical aspects of producing asset information. This document distils the OIR and specifies the asset related informations needs, information standard and methods and procedures to be implemented by the delivery team.
These requirements should be expressed in such a way that they can be incorporated into asset management model to support the organisation&%2339;s asset management decision-making.","[""Industry""]",,,,,"Approved",,,"43","A"
"Asset Life Cycle","[""Definition""]","ALC","Life of the asset from the definition of its requirements to the termination of its use, covering its conception, development, operation, maintenance support and disposal.","[""Enterprise Architecture""]","[""BIM - Management""]","BIM Exchange Information Requirements","Abel Maciel",,"Approved",,,"1302","A"
"Asset Management","[""Definition""]","AM","A professional discipline to realise business value from assets through the use of Information Models to manage an asset or collection of assets. The process requires accurate record modelling to have been completed, providing information models of suitable detail for managing the asset(s).","[""Industry"",""Enterprise Architecture""]","[""BIM Activities - Operations Related"",""Asset Information Management System""]","BIM Exchange Information Requirements","Abel Maciel",,"Approved",,,"44","A"
"Asset Management Framework","[""Definition""]","AMF","An asset management framework is a set of documents, systems and processes that addresses an organisation's asset management responsibilities. 
In its simplest form an asset management framework may just be the sum of the following documents. Asset Management Policy. Asset Management Strategy. Asset Management Plan.","[""Industry""]",,,,,"Approved",,,"45","A"
"Asset Management Policy","[""Definition""]","AMP","One of the core requirements of ISO 55001:2014, it is a cornerstone of a solid and complete asset management strategy. It acts like a compass by providing a set of guiding principles, intentions, goals and methods for asset management.","[""Industry""]",,,,,"Approved",,,"46","A"
"Asset Management System","[""Abbreviation""]","AMS",,"[""Industry""]","[""Asset Information Management System""]","Asset Engineering Management Upload","Harshed Bhudia",,"Approved",,,"1714","A"
"Asset Protection Agreement","[""Definition""]","APA","Network Rail agreement in use in the UK Rail industry.","[""Industry""]",,,,,"Approved",,,"47","A"
"Associate in Risk Management","[""Acronym""]","ARM","A professional qualification for dedicated risk management professionals.
ARM abbreviation for this definition not to be confused with Risk Management systems (eg. Network Rail ARM).","[""Industry""]",,,,,"Approved",,,"48","A"
"Associated Society of Locomotive Engineers and Fireman","[""Definition""]","ASLEF","Trades Union that represents most of the UK’s train drivers","[""Industry""]",,,,,"Approved",,,"49","A"
"Assumption","[""Definition""]",,"An ‘Assumption’ is a temporary working Decision which is made, in the absence of more detailed information, to enable work to continue to meet the key dates of the Project programme. The Decision is based upon parameters of existing information, reasonable judgement and relevant experience. An assumption will usually have a reciprocal risk, recorded on the Project risk register, that the assumption may require change once better information is known.","[""EWR""]",,,,,"Approved",,,"50","A"
"Assumption & Requirements Change Panel","[""Definition""]","ARCP","The EWR Co body responsible for assessing and approving proposed changes to Assumptions and Requirements.","[""EWR""]",,,,,"Approved",,,"51","A"
"Assumption, Dependency or Exclusion","[""Abbreviation""]","ADE",,"[""EWR""]","[""Requirements Management""]","Requirements Management Plan",,,"Approved",,,"1613","A"
"Assurances","[""Definition""]",,"Unilateral commitments given directly to Petitioners or affected parties, by EWR Co. These would be provided by way of standard form letter containing the bespoke assurance. ","[""Consents""]","[""Developments Consent Order""]","Consents Upload","Lungile Mngadi",,"Approved",,,"1624","A"
"ATO over ETCS","[""Definition""]","AoE","Safe and effective automatic control of train movement requires the presence of both an ATO system (to drive the train) and an ATP system (to enforce train safety). AoE achieves this objective by bringing together an ATO system (usually one compliant with Subset-125 (yet to be issued)) and the ETCS, with the latter providing the ATP functionality.","[""Digital Railway""]",,,,,"Approved",,,"52","A"
"Attribute","[""Definition""]",,"A property of an object that can be used to record information about an instance of the object. Example: ‘Criteria’ is an Attribute to a Requirement.","[""Industry""]",,,,,"Approved",,,"53","A"
"Audit","[""Definition""]",,"A proactive, systematic, independent and documented management process whereby evidence is obtained and evaluated objectively, to determine the extent to which procedure, process or standard criteria are fulfilled. Audits are structured and process driven and provide a qualitative assessment of compliance.","[""Digital Railway"",""Health, Wellbeing, Safety & Security""]","[""IMS"",""Health & Safety""]","ISO 9000:2015",,,"Approved",,,"54","A"
"Audit Findings","[""Definition""]",,"Results of the evaluation of the collected audit/inspection evidence against audit/inspection criteria.  These indicate conformity or nonconformity and can lead to the identification of opportunities for improvement.","[""EWR"",""Health, Wellbeing, Safety & Security""]","[""IMS""]","ISO 9000:2015","Michelle Stroud",,"Approved","5","finding, inspection finding","1072","A"
"Auditor’s Note","[""Definition""]",,"Used where an auditor determines something outside of the scope of the audit, or due to the nature of the risk, feels it needs to be highlighted.","[""EWR""]","[""IMS""]",,"Michelle Stroud",,"Approved","5",,"1065","A"
"Augmented Reality","[""Definition""]","AR","Augmented reality (AR) is an interactive experience of a real-world environment where the objects that reside in the real world are enhanced by computer-generated perceptual information, sometimes further enhansed by multiple sensory experiences.","[""Industry""]",,,,,"Approved",,,"55","A"
"Author / Owner","[""Definition""]",,"The person responsible for the content in the information container.","[""Enterprise Architecture""]","[""BIM - Management""]","BIM Exchange Information Requirements","Abel Maciel",,"Approved",,,"1303","A"
"Authorisation for Placing into Service","[""Definition"",""Abbreviation""]","APIS","NR process for approving infrastructure. All the operations by which a structural subsystem is put into its design operating state are complete","[""Industry""]",,"EWR Systems Safety Plan",,,"Approved",,,"56","A"
"Authorised Personnel","[""Definition""]",,"Those who have been issued an access pass to the building after receiving the office induction","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]",,"Karen Campbell",,"Approved",,,"1372","A"
"Authorities","[""Definition""]",,"The power to determine, adjudicate, or otherwise settle issues or disputes; jurisdiction; the right to control, command, or determine.","[""Gov"",""EWR"",""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]",,"Karen Campbell",,"Approved",,,"1373","A"
"Authority to Place into Service","[""Definition""]","APIS","Authorisation from the UK's Office of Road and Rail, to place the infrastructure or rolling stock into service.","[""Digital Railway""]",,,,,"Approved",,,"57","A"
"Auto Transformer","[""Abbreviation""]","AT",,"[""Electrical Engineering""]","[""Traction Power Engineering""]","Power Engineering Upload","Michael Bartley",,"Approved",,,"1661","A"
"Auto Transformer Feeder Stations","[""Abbreviation""]","ATFS",,"[""Environment"",""Electrical Engineering""]","[""IMS"",""Survey"",""Traction Power Engineering""]",,"Karen Straw",,"Approved",,,"1173","A"
"Auto Transformer Stations","[""Abbreviation""]","ATS",,"[""Environment"",""Electrical Engineering""]","[""IMS"",""Survey"",""Power Engineering""]",,"Karen Straw",,"Approved",,,"1174","A"
"Automated Waste Collection System","[""Abbreviation""]","AWCS",,"[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1175","A"
"Automatic Barrier Crossing","[""Definition""]","ABCL","Type of UK level crossing","[""Industry""]",,,,,"Approved",,,"58","A"
"Automatic Code Insertion","[""Definition""]","ACI","A feature of Integrated Electronic Control Centre (IECC) signalling systems whereby the next working of a terminating train is automatically identified by the signalling system.","[""Digital Railway""]",,,,,"Approved",,,"59","A"
"Automatic Half Barrier Crossing","[""Definition""]","AHBC","A type of level crossing at which a public highway crosses the railway. Barriers are provided over half the width of the road only. The crossing operates automatically (the raising and lowering of the barriers being triggered by a train) and is not controlled or monitored by railway staff.","[""Industry""]",,,,,"Approved",,,"60","A"
"Automatic Open Crossing (Locally Monitored)","[""Definition""]","AOCL","Type of UK level crossingthat has nobarriers, gates or road traffic signals. It has a‘Give Way’ sign on each road approach.  With this type of crossing the train crew assume responsibility for ensuring the safety of the crossing.","[""Industry""]",,,,"Locally monitored by train crew.","Approved",,,"61","A"
"Automatic Open Crossing (Remotely Monitored)","[""Definition""]","AOCR","Type of UK level crossing, where no barriers are provided to protect vehicular/pedestrian traffic from accessing the crossing.  This tyoe of crossing is monitored from a remote site, often by CCTV.","[""Industry""]",,,,,"Approved",,,"62","A"
"Automatic Route Setting","[""Definition""]","ARS","A generic term for a computer-based system which automatically requests routes to be set for the passage of trains.
See also: Dynamic Route Setting (DRS)","[""Digital Railway""]",,,,,"Approved",,,"63","A"
"Automatic Selective Door Operation","[""Definition""]","ASDO","On-train system that opens the required doors of a train separately in relation to the platform length and side","[""Industry""]",,,,,"Approved",,,"64","A"
"Automatic Train Operation","[""Definition""]","ATO","Automatic operation of a train by trainborne equipment with reduced driver involvement. It controls the train at all times, including at station stops, leaving the driver (if present) to supervise the system.","[""Digital Railway""]",,,,,"Approved",,,"65","A"
"Automatic Train Protection","[""Definition""]","ATP","A safety system that forces trains to comply with speed restrictions and Movement Authorities.","[""Digital Railway""]",,,,,"Approved",,,"66","A"
"Automatic Train Reporting","[""Definition""]","ATR","Train position and running data captured from the signalling system.","[""Digital Railway""]",,,,,"Approved",,,"67","A"
"Automatic Vehicle Inspection System","[""Abbreviation""]","AVIS",,"[""Industry""]",,,,,"Approved",,,"68","A"
"Automatic Warning System","[""Definition""]","AWS","The AWS is used to give advance warning to drivers of a signal aspect, a Temporary Speed Restriction (TSR), or a Permanent Speed Restriction (PSR) more than 30% slower than the current limit.","[""Digital Railway""]",,,,,"Approved",,,"69","A"
"Autotransformer Feeder","[""Abbreviation""]","ATF",,"[""Electrical Engineering""]","[""Power Engineering""]","Power Engineering Upload","Michael Bartley",,"Approved",,,"1662","A"
"Auxiliary Equipment Enclosure","[""Abbreviation""]","AEE",,,"[""Power Engineering""]","Traction Power Upload","Michael Bartley",,"Approved",,,"1659","A"
"Average Diagram Length","[""Definition""]","ADL","Number of hours divided by number of diagrams","[""Industry""]",,,,,"Approved",,,"70","A"
"Average Spare Length","[""Definition""]","ASL","Formal or adaptable requirement for spare length in a roster","[""Industry""]",,,,,"Approved",,,"71","A"
"Average Turn Length","[""Definition""]","ATL","Combination of ADL and ASL","[""Industry""]",,,,,"Approved",,,"72","A"
"Back of House","[""Definition""]","BoH","Term used to indicate behind front of house presentation","[""Industry""]",,,,,"Approved",,,"73","B"
"Balancing Pond","[""Definition""]","BP","An artificial basin into which surface water runoff drains from a development, to hold water to ensure local watercourses are not overloaded during heavy rainfall.","[""Environment""]","[""IMS""]",,"Karen Straw",,"Approved",,,"1114","B"
"Balise","[""Definition""]",,"An electronic beacon or transponder placed between the rails. A component of ETCS and ATP.","[""Industry""]",,,,,"Approved",,,"74","B"
"Balise Group","[""Definition""]","BG","One or more balises which are treated as having the same reference location on the track. The telegrams transmitted by all the balises of a group form a track-to-train message.","[""Digital Railway""]",,,,,"Approved",,,"75","B"
"Balise Transmission Module","[""Definition""]","BTM","A module within the Onboard ERTMS / ETCS equipment for intermittent transmission between track and train, which processes Up-link signals and retrieves application data telegrams from a balise.","[""Digital Railway""]",,,,,"Approved",,,"76","B"
"Ballast","[""Definition""]",,"The stones that surround and support track and allow water to drain away from the rails","[""Technical terms for statutory consultations""]",,,,,"Approved",,,"77","B"
"Baseline","[""Definition""]",,"Existing environmental conditions present on, or near a site, against which future changes can be measured or predicted.","[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1115","B"
"Baseline","[""Definition""]",,"A baseline is a fixed reference in the Enterprise Lifecycle or an agreed upon specification of a product, at a given point in time. It serves as a basis for defining change, where change is a movement from one baseline state to the next.","[""Enterprise Architecture""]","[""BIM""]",,"Abel Maciel",,"Approved",,,"1259","B"
"Basic Asset Protection Agreement","[""Definition""]","BAPA","Network Rail agreement","[""Industry""]",,,,,"Approved",,,"79","B"
"Basis of Design","[""Definition""]","BoD","A document or record to provide a nattative of the reasoning and decisions made during the design phase of a project.","[""Digital Railway""]",,,,,"Approved",,,"80","B"
"Battery Electric Multiple Unit","[""Definition""]","BEMU","Electrically driven multiple unit whose energy is derived from rechargeable batteries if no overhead power supply is available","[""Industry"",""Electrical Engineering""]",,"Power Engineering Upload","Michael Bartley",,"Approved",,,"81","B"
"Bedford Borough Council","[""Definition""]","Bedford BC","The local authority of the Borough of Bedford.","[""Gov""]",,,,,"Approved",,,"82","B"
"Behavioural Causes","[""Definition""]",,"Contributing psychological reasons behind why unsafe acts are performed by those involved in an accident or incident (i.e. deliberate violation).","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell","In review with H&S Team","Approved",,,"1374","B"
"Benefit Cost Ratio","[""Definition""]","BCR","Costs of building the railway and periodically renewing parts of the infrastructure.","[""Gov""]",,,,,"Approved",,,"83","B"
"Berth Offset","[""Definition""]",,"Difference between the time a train actually occupies a track circuit and the time recorded in TRUST for the event (see TRUST)","[""Industry""]",,,,,"Approved",,,"84","B"
"Best and Most Versatile Land","[""Abbreviation""]","BMV",,"[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw","(ALC Grade 1, Grade 2, and Grade 3)","Approved",,,"1176","B"
"Best Practicable Means","[""Abbreviation""]","BPM",,"[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1178","B"
"Bi-Directional Line","[""Definition""]",,"A railway line on which the signalling allows trains to run in both directions.","[""Industry""]",,,,,"Approved",,,"85","B"
"Big Metal Mass","[""Definition""]","BMM","A Big Metal Mass is any metal object between the running rails which may cause an alarm from the balise reader. The maximum dimensions of a tolerable object are defined in $6.5.2 of Subset-036.","[""Digital Railway""]",,,,,"Approved",,,"86","B"
"BIM Execution Plan","[""Definition""]","BEP","For BIM definition, included in glossary.
A document prepared as a direct response to the ordering party’s requirements detailing how the contracted party will respond to the EIR.","[""Industry""]",,,,,"Approved",,,"87","B"
"Biodiversity","[""Definition""]",,"Biodiversity is the variety of life on Earth, including all species, the genetic variety within each species and the ecosystems of which they are a part.","[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1116","B"
"Biodiversity Net Gain","[""Definition""]","BNG","An approach to development that leaves biodiversity in a better state than before.","[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"88","B"
"Bletchley Flyover","[""Definition""]","BFO","Section of track connecting the Marston Vale Line","[""Industry""]",,,,,"Approved",,,"89","B"
"Block Section","[""Definition""]",,"A section of track in which, normally, no more than one train is allowed.","[""Digital Railway""]",,,,,"Approved",,,"90","B"
"Blocked to Electric Traction","[""Definition""]","BTET","A line or lines on an electric railway that has/have had the electricity terminated, normally as a temporary measure to permit work to be carried out on nearby track or the traction supply system.","[""Digital Railway""]",,,,,"Approved",,,"91","B"
"Board Investment Commercial Committee","[""Definition""]","BICC","Led by Permanent Secretary of State for Transport.","[""EWR""]",,,,,"Approved",,,"92","B"
"Book of Reference","[""Definition""]",,"Contains details of all the owners / occupiers, and all parties that have an interest in land directly affected by EWR Co proposals. The Planning Act 2008 (s42) requires EWR Co identifies all and formally consults with them.","[""Consents""]","[""Developments Consent Order""]","Consents Upload","Lungile Mngadi",,"Approved",,,"1625","B"
"Borough Council","[""Definition""]","BC","A local governing body responsible for local services such as council tax, housing and planning applications. These cover a smaller area than county councils.","[""Consents""]","[""Developments Consent Order""]","Consents Upload","Lungile Mngadi",,"Approved",,,"1626","B"
"Bridge Abutment","[""Definition""]",,"The walls that support each end of a bridge deck and sit either side of the road, watercourse, railway or other obstruction that the bridge crosses.","[""Technical terms for statutory consultations""]",,,,,"Approved",,,"93","B"
"Bridge deck","[""Definition""]",,"The part of a bridge structure that carries the railway, a road or a footpath","[""Technical terms for statutory consultations""]",,,,,"Approved",,,"94","B"
"Bridleway","[""Definition""]",,"A highway over which the public have a right of way for vehicular and all other kinds of traffic, but which is used by the public for the purposes for which footpaths and bridleways are used. These are also known as “public paths.”","[""Consents""]","[""Developments Consent Order""]","Consents Upload","Lungile Mngadi",,"Approved",,,"1628","B"
